iteration,car stereo rep,other rep,total reps,waiting percentage
1,3,65,68,16.030534351145036
2,1,109,110,5.862068965517241
3,2,68,70,15.425531914893616
4,7,102,109,6.64451827242525
5,9,107,116,5.351170568561873
6,1,62,63,16.120218579234972
7,1,107,108,6.7114093959731544
8,2,62,64,16.032608695652172
9,1,58,59,16.844919786096256
10,1,64,65,16.137566137566136
11,0,68,68,15.591397849462366
12,5,60,65,16.137566137566136
13,0,70,70,15.508021390374333
14,3,77,80,13.821138211382115
15,3,59,62,16.752577319587626
16,0,102,102,7.534246575342466
17,4,60,64,16.40625
18,2,62,64,16.27296587926509
19,4,68,72,15.263157894736842
20,0,71,71,15.526315789473685
21,11,90,101,7.291666666666667
22,2,70,72,15.263157894736842
23,8,94,102,6.993006993006993
24,3,66,69,15.300546448087433
25,6,54,60,16.57608695652174
26,2,63,65,16.27906976744186
27,6,63,69,15.608465608465607
28,2,108,110,6.375838926174497
29,4,105,109,5.902777777777778
30,1,64,65,15.702479338842975
